Samsung,SM-A145R/DSN 128GB,"(Global, International)","3/27/2023, Announced: 2/28/2023",64bit: MediaTek Helio G80 (MT6769V/CU) (12nm),ARM Mali-G52 MC2 (950MHz)
Samsung,SM-A145R/DSN 64GB,"(Global, International)","3/27/2023, Announced: 2/28/2023",64bit: MediaTek Helio G80 (MT6769V/CU) (12nm),ARM Mali-G52 MC2 (950MHz)
Samsung,SM-A3460 128GB,"China, Hong Kong","3/24/2023, Announced: 3/14/2023",64bit: MediaTek Dimensity 1080 (6nm),ARM Mali-G68 MC4
Samsung,SM-A346B/DSN 128GB,(Europe),"3/24/2023, Announced: 3/14/2023",64bit: MediaTek Dimensity 1080 (6nm),ARM Mali-G68 MC4
Samsung,SM-A346B/DSN 256GB,(Europe),"3/24/2023, Announced: 3/14/2023",64bit: MediaTek Dimensity 1080 (6nm),ARM Mali-G68 MC4
Samsung,SM-A346E/DSN 128GB/6GB,"(Global, International), (Middle East), Kazakhstan, Russia","3/24/2023, Announced: 3/14/2023",64bit: MediaTek Dimensity 1080 (6nm),ARM Mali-G68 MC4
Samsung,SM-A346E/DSN 128GB/8GB,"(Global, International), (Middle East)","3/24/2023, Announced: 3/14/2023",64bit: MediaTek Dimensity 1080 (6nm),ARM Mali-G68 MC4
Samsung,SM-A346E/DSN 256GB,"(Global, International), (Middle East), Kazakhstan, Russia","3/24/2023, Announced: 3/14/2023",64bit: MediaTek Dimensity 1080 (6nm),ARM Mali-G68 MC4
Samsung,SM-A346E/N 128GB,"Australia, New Zealand","3/24/2023, Announced: 3/14/2023",64bit: MediaTek Dimensity 1080 (6nm),ARM Mali-G68 MC4
Samsung,SM-A346M/DSN 128GB,"(Latin America), Brazil, Chile, Colombia, Paraguay, Uruguay","3/24/2023, Announced: 3/14/2023",64bit: MediaTek Dimensity 1080 (6nm),ARM Mali-G68 MC4
Samsung,SM-A346M/DSN 256GB,"(Latin America), Brazil, Colombia","3/24/2023, Announced: 3/14/2023",64bit: MediaTek Dimensity 1080 (6nm),ARM Mali-G68 MC4
Samsung,SM-A346M/N 128GB,"Argentina, Mexico, Peru","3/24/2023, Announced: 3/14/2023",64bit: MediaTek Dimensity 1080 (6nm),ARM Mali-G68 MC4
Samsung,SM-A346M/N 256GB,"Mexico, Peru","3/24/2023, Announced: 3/14/2023",64bit: MediaTek Dimensity 1080 (6nm),ARM Mali-G68 MC4
Samsung,SM-A546B/DS 128GB,(Europe),"3/24/2023, Announced: 3/15/2023",64bit: Samsung Exynos 1380 (5nm),ARM Mali-G68 MP5 (950MHz)
Samsung,SM-A546B/DS 256GB,(Europe),"3/24/2023, Announced: 3/15/2023",64bit: Samsung Exynos 1380 (5nm),ARM Mali-G68 MP5 (950MHz)
Samsung,SM-A546E/DS 128GB,"(Latin America), Brazil","3/24/2023, Announced: 3/15/2023",64bit: Samsung Exynos 1380 (5nm),ARM Mali-G68 MP5 (950MHz)
Samsung,SM-A546E/DS 256GB,"(Latin America), Brazil","3/24/2023, Announced: 3/15/2023",64bit: Samsung Exynos 1380 (5nm),ARM Mali-G68 MP5 (950MHz)
Samsung,SM-A546W 128GB,Canada,"3/24/2023, Announced: 3/15/2023",64bit: Samsung Exynos 1380 (5nm),ARM Mali-G68 MP5 (950MHz)
Samsung,SM-S911B/DS 128GB,"(Global, International)","2/17/2023, Announced: 2/1/2023",64bit: Qualcomm Snapdragon 8 Gen 2 (SM8550) (4nm),Qualcomm Adreno 740
Samsung,SM-S911B/DS 256GB,"(Global, International)","2/17/2023, Announced: 2/1/2023",64bit: Qualcomm Snapdragon 8 Gen 2 (SM8550) (4nm),Qualcomm Adreno 740
Samsung,SM-S918B/DS 1TB,"(Global, International)","2/17/2023, Announced: 2/1/2023",64bit: Qualcomm Snapdragon 8 Gen 2 (SM8550) (4nm),Qualcomm Adreno 740
Samsung,SM-S918B/DS 256GB,"(Global, International)","2/17/2023, Announced: 2/1/2023",64bit: Qualcomm Snapdragon 8 Gen 2 (SM8550) (4nm),Qualcomm Adreno 740
Samsung,SM-S918B/DS 512GB,"(Global, International)","2/17/2023, Announced: 2/1/2023",64bit: Qualcomm Snapdragon 8 Gen 2 (SM8550) (4nm),Qualcomm Adreno 740
Samsung,SM-S916B/DS 256GB,"(Global, International)","2/17/2023, Announced: 2/1/2023",64bit: Qualcomm Snapdragon 8 Gen 2 (SM8550) (4nm),Qualcomm Adreno 740
Samsung,SM-S916B/DS 512GB,"(Global, International)","2/17/2023, Announced: 2/1/2023",64bit: Qualcomm Snapdragon 8 Gen 2 (SM8550) (4nm),Qualcomm Adreno 740
Samsung,SM-A146B/DS 128GB/6GB,"(Global, International)","1/12/2023, Announced: 1/4/2023",64bit: Samsung Exynos 1330 (5nm),ARM Mali-G68 MC4
Samsung,SM-A146B/DS 128GB/8GB,"(Global, International)","1/12/2023, Announced: 1/4/2023",64bit: Samsung Exynos 1330 (5nm),ARM Mali-G68 MC4
Samsung,SM-A146B/DS 64GB,"(Global, International)","1/12/2023, Announced: 1/4/2023",64bit: Samsung Exynos 1330 (5nm),ARM Mali-G68 MC4
Samsung,SM-A146P/DSN 128GB/4GB,"(Middle East), Hong Kong, Thailand, Vietnam","1/12/2023, Announced: 1/4/2023",64bit: MediaTek Dimensity 700 (MT6833V) (7nm),ARM Mali-G57 MC2 (950MHz)
Samsung,SM-A146P/DSN 128GB/6GB,"Philippines, Malaysia, Singapore","1/12/2023, Announced: 1/4/2023",64bit: MediaTek Dimensity 700 (MT6833V) (7nm),ARM Mali-G57 MC2 (950MHz)
